trevisana e scamorza, Primo
funghi, Primo
salsiccia, Primo
arancia e gorgonzola, Primo
pere e gorgonzola, Primo
crespelle alle verdure di stagione, Primo
crespelle spinaci e ricotta, Primo
crespelle prosciutto e formaggio, Primo
Ravioli di zucca al burro versato e amaretti, Primo
Ravioli di magro al burro versato e salvia, Primo
Ravioli di brasato al sugo, Primo
Ravioli gratinati, Primo
Ravioli in brodo, Primo
Pasta alla chitarra al pomodoro, Primo
Tagliatelle al ragu, Primo
Tagliatelle ai funghi, Primo
Pappardelle ai funghi, Primo
Lasagne al forno, Primo
Pasta e fagioli, Primo
Trippa, Primo
Minestrone, Primo
Tagliata di scottona al pepe nero, Secondo
Carpaccio di filetto con scaglie di grana, Secondo
Roastbeef all inglese, Secondo
Tartare di manzo, Secondo
Vitello tonnato, Secondo
Pollo nostrano arrosto ripieno, Secondo
Pollo nostrano alla diavola, Secondo
Pollo in umido alla cacciatora o ai profumi dell orto, Secondo
Coniglio arrosto al limone, Secondo
Coniglio in salmì, Secondo
Spezzatino di manzo, Secondo
Stracotto di manzo con polenta, Secondo
Brasato di manzo con polenta, Secondo
Stinco di vitello al forno, Secondo
Carrè di vitello fra castagne e mele renette, Secondo
Delizie di maiale alla brace, Secondo
Arista al forno con verdurine in agrodolce, Secondo
Lessi misti con purè salsa verde e mostarda, Secondo
Cassoeula con polenta, Secondo
Girasole alle mandorle, Dolce
Crostata cioccolato e pere, Dolce
Torta alle mandorle, Dolce
Croccante, Dolce
Budini, Dolce
Mille foglie, Dolce
Torta di mele, Dolce
Tiramisù, Dolce
Crostate con marmellate, Dolce
Crostata di frutta fresca, Dolce
Crostata ricotta e cioccolato, Dolce
